datetime;(('bus_gen', 'connect'), 'flow');(('bus_gen', 'cut_off'), 'flow');(('bus_gen', 'storage'), 'flow');(('ee_gen', 'bus_gen'), 'flow');(('fossil_gen', 'bus_gen'), 'flow')
2021-01-18 00:00:00;205.76058675;0.0;0.0;98.04335999999999;107.71722675
2021-01-18 01:00:00;206.901351625;0.0;0.0;92.801631;114.09972062499999
2021-01-18 02:00:00;213.179336625;0.0;0.0;91.677567;121.501769625
2021-01-18 03:00:00;227.26417187500002;0.0;0.0;86.67392099999999;140.59025087500004
2021-01-18 04:00:00;264.340702625;0.0;0.0;84.308703;180.03199962500003
2021-01-18 05:00:00;294.3859645;0.0;0.0;82.614801;211.7711635
2021-01-18 06:00:00;312.89115525000005;0.0;0.0;102.910401;209.98075425000007
2021-01-18 07:00:00;319.84252475;0.0;0.0;150.058641;169.78388375
2021-01-18 08:00:00;330.098136;0.0;0.0;227.170212;102.92792400000002
2021-01-18 09:00:00;338.88198837500005;0.0;0.0;330.314793;8.56719537500004
2021-01-18 10:00:00;337.34370862500003;33.96211437499997;52.72;424.025823;0.0
2021-01-18 11:00:00;334.86410275000003;96.13029924999992;52.72;483.71440199999995;0.0
2021-01-18 12:00:00;330.292248125;127.00837387499993;52.72;510.02062199999995;0.0
2021-01-18 13:00:00;324.941839125;137.88933387499995;52.72;515.551173;0.0
2021-01-18 14:00:00;317.974242;113.96468599999994;52.72;484.65892799999995;0.0
2021-01-18 15:00:00;317.65538775000005;66.96747124999993;52.72;437.342859;0.0
2021-01-18 16:00:00;316.21038587500004;4.079324124999943;52.72;373.00971;0.0
2021-01-18 17:00:00;294.145692;0.0;0.0;294.145692;0.0
2021-01-18 18:00:00;268.27846875;0.0;0.0;211.85484;56.423628750000006
2021-01-18 19:00:00;265.1227187322804;0.0;0.0;142.826382;122.29633673228042
2021-01-18 20:00:00;276.912280875;0.0;0.0;97.356432;179.55584887500004
2021-01-18 21:00:00;259.343832875;0.0;0.0;83.64519299999999;175.69863987499997
2021-01-18 22:00:00;240.6747555;0.0;0.0;83.88717899999999;156.7875765
2021-01-18 23:00:00;232.15004962500004;0.0;0.0;83.30563199999999;148.84441762500006
2021-01-19 00:00:00;227.670977375;0.0;0.0;70.78090499999999;156.89007237500002
2021-01-19 01:00:00;228.08831225;0.0;0.0;60.797031;167.29128125
2021-01-19 02:00:00;231.61230825;0.0;0.0;48.736760999999994;182.87554725
2021-01-19 03:00:00;245.17389550000001;0.0;0.0;38.635797;206.53809850000002
2021-01-19 04:00:00;279.150949875;0.0;0.0;31.505015999999998;247.64593387499997
2021-01-19 05:00:00;305.93706050000003;0.0;0.0;39.092448;266.84461250000004
2021-01-19 06:00:00;323.748799;0.0;0.0;63.146637;260.602162
2021-01-19 07:00:00;330.92017050000004;0.0;0.0;111.340881;219.57928950000004
2021-01-19 08:00:00;337.849366375;0.0;0.0;164.039187;173.810179375
2021-01-19 09:00:00;344.768280625;0.0;0.0;227.931297;116.83698362499999
2021-01-19 10:00:00;343.61859675000005;0.0;0.0;281.605353;62.01324375000007
2021-01-19 11:00:00;338.06602375;0.0;0.0;319.015608;19.050415750000013
2021-01-19 12:00:00;331.530750375;0.0;1.6410386249999647;333.171789;0.0
2021-01-19 13:00:00;326.7869464314022;0.0;0.0;323.242557;3.5443894314022373
2021-01-19 14:00:00;324.68529400000006;0.0;0.0;307.95840899999996;16.726885000000095
2021-01-19 15:00:00;319.42580925;0.0;0.0;299.547444;19.87836525
2021-01-19 16:00:00;315.0473235;0.0;0.0;265.380582;49.6667415
2021-01-19 17:00:00;310.277516625;0.0;0.0;230.21845499999998;80.059061625
2021-01-19 18:00:00;297.530531375;0.0;0.0;181.555851;115.97468037500002
2021-01-19 19:00:00;286.69852975;0.0;0.0;141.772572;144.92595774999998
2021-01-19 20:00:00;273.31656125;0.0;0.0;120.352908;152.96365325
2021-01-19 21:00:00;255.21483137500002;0.0;0.0;123.08500799999999;132.12982337500003
2021-01-19 22:00:00;242.194082375;0.0;0.0;128.99415;113.199932375
2021-01-19 23:00:00;233.6525295;0.0;0.0;125.54780099999999;108.10472850000002
2021-01-20 00:00:00;229.788125;0.0;0.0;108.26921999999999;121.51890500000002
2021-01-20 01:00:00;229.08476275;0.0;0.0;102.383496;126.70126675000002
2021-01-20 02:00:00;232.220410625;0.0;0.0;95.619597;136.600813625
2021-01-20 03:00:00;245.7139905;0.0;0.0;91.622925;154.0910655
2021-01-20 04:00:00;278.228824375;0.0;0.0;91.42387199999999;186.804952375
2021-01-20 05:00:00;303.8866815;0.0;0.0;98.76541499999999;205.12126650000002
2021-01-20 06:00:00;320.556911875;0.0;0.0;109.463538;211.09337387500003
2021-01-20 07:00:00;327.75925212500005;0.0;0.0;131.527197;196.23205512500004
2021-01-20 08:00:00;333.22498875;0.0;0.0;160.08154499999998;173.14344375000005
2021-01-20 09:00:00;340.9464891250001;0.0;0.0;183.51125399999998;157.4352351250001
2021-01-20 10:00:00;341.28826025;0.0;0.0;215.504145;125.78411525000001
2021-01-20 11:00:00;342.686685125;0.0;0.0;264.318966;78.36771912500001
2021-01-20 12:00:00;334.214130625;0.0;0.0;316.919697;17.29443362500001
2021-01-20 13:00:00;327.34055462500004;0.0;50.96162337499993;378.30217799999997;0.0
2021-01-20 14:00:00;319.07499525000003;55.384451749999954;52.72;427.179447;0.0
2021-01-20 15:00:00;320.30011900000005;54.963345999999916;52.72;427.98346499999997;0.0
