P_in_rel;P_in_stor;eta_in
0.1023;0.0709;0.6928
0.1026;0.0709;0.6906
0.1027;0.071;0.691
0.1029;0.0712;0.6915
0.1032;0.0716;0.6937
0.1035;0.0713;0.6893
0.1037;0.0716;0.6905
0.104;0.0723;0.6955
0.1041;0.0722;0.6939
0.1043;0.0721;0.6916
0.1044;0.0721;0.6904
0.1047;0.0724;0.6915
0.1049;0.0725;0.6907
0.1051;0.0727;0.6915
0.1052;0.073;0.6935
0.1054;0.0728;0.6904
0.1055;0.073;0.6921
0.1057;0.0734;0.6946
0.106;0.0737;0.6953
0.1061;0.074;0.6972
0.1065;0.0741;0.696
0.1066;0.0738;0.6925
0.1069;0.0741;0.6931
0.1075;0.0748;0.6955
0.1079;0.0748;0.6934
0.1086;0.0754;0.6947
0.1088;0.0753;0.6924
0.1094;0.076;0.695
0.1099;0.0767;0.6979
0.1102;0.077;0.6991
0.1107;0.0769;0.6945
0.1111;0.0777;0.6991
0.1113;0.0775;0.6963
0.1114;0.0779;0.6993
0.1116;0.0775;0.6945
0.1117;0.0783;0.7006
0.1119;0.0782;0.6986
0.1124;0.0786;0.6989
0.1125;0.0782;0.6947
0.113;0.0791;0.6998
0.1131;0.0791;0.6994
0.1133;0.0789;0.6966
0.1135;0.079;0.6961
0.1138;0.0792;0.6963
0.1139;0.0797;0.6997
0.1145;0.0802;0.7008
0.1147;0.0804;0.7009
0.115;0.0807;0.7021
0.1152;0.0803;0.6973
0.1155;0.0807;0.6991
0.1161;0.0817;0.7037
0.1167;0.0815;0.6987
0.1169;0.0819;0.7002
0.1172;0.0819;0.6985
0.1177;0.083;0.7048
0.1178;0.0824;0.6994
0.1181;0.0828;0.701
0.1191;0.0835;0.7014
0.1192;0.0835;0.7008
0.1194;0.0842;0.7056
0.1198;0.0843;0.7039
0.12;0.0847;0.7061
0.1201;0.0845;0.7034
0.1206;0.0855;0.7093
0.1209;0.0849;0.7019
0.1211;0.085;0.7019
0.1212;0.0856;0.7063
