datetime;(('bus_gen', 'connect'), 'flow');(('bus_gen', 'cut_off'), 'flow');(('bus_gen', 'storage'), 'flow');(('ee_gen', 'bus_gen'), 'flow');(('fossil_gen', 'bus_gen'), 'flow')
2021-12-07 00:00:00;205.76058675;0.0;0.0;98.04335999999999;107.71722675
2021-12-07 01:00:00;206.901351625;0.0;0.0;92.801631;114.09972062499999
2021-12-07 02:00:00;213.179336625;0.0;0.0;91.677567;121.501769625
2021-12-07 03:00:00;227.26417187500002;2.842170943040401e-14;0.0;86.67392099999999;140.59025087500004
2021-12-07 04:00:00;264.340702625;0.0;0.0;84.308703;180.03199962500003
2021-12-07 05:00:00;294.3859645;0.0;0.0;82.614801;211.7711635
2021-12-07 06:00:00;312.89115525000005;0.0;0.0;102.910401;209.98075425000007
2021-12-07 07:00:00;319.84252475;0.0;0.0;150.058641;169.78388375
2021-12-07 08:00:00;330.098136;0.0;0.0;227.170212;102.92792400000002
2021-12-07 09:00:00;338.88198837500005;0.0;0.0;330.314793;8.56719537500004
2021-12-07 10:00:00;337.34370862500003;0.0;86.68211437499997;424.025823;0.0
2021-12-07 11:00:00;334.86410275000003;0.0;148.85029924999992;483.71440199999995;0.0
2021-12-07 12:00:00;330.292248125;20.728373874999875;159.00000000000003;510.02062199999995;0.0
2021-12-07 13:00:00;324.941839125;31.609333874999948;159.00000000000003;515.551173;0.0
2021-12-07 14:00:00;317.974242;7.684685999999942;159.00000000000003;484.65892799999995;0.0
2021-12-07 15:00:00;317.65538775000005;0.0;119.68747124999993;437.342859;0.0
2021-12-07 16:00:00;316.21038587500004;0.0;56.79932412499994;373.00971;0.0
2021-12-07 17:00:00;311.0050345;0.0;0.0;294.145692;16.859342500000025
2021-12-07 18:00:00;299.80846875000003;0.0;0.0;211.85484;87.95362875000004
2021-12-07 19:00:00;289.11012825;0.0;0.0;142.826382;146.28374625
2021-12-07 20:00:00;276.912280875;0.0;0.0;97.356432;179.55584887500004
2021-12-07 21:00:00;259.343832875;0.0;0.0;83.64519299999999;175.69863987499997
2021-12-07 22:00:00;240.6747555;-5.684341886080802e-14;0.0;83.88717899999999;156.78757649999994
