datetime;(('bus_gen', 'connect'), 'flow');(('bus_gen', 'cut_off'), 'flow');(('bus_gen', 'storage'), 'flow');(('ee_gen', 'bus_gen'), 'flow');(('fossil_gen', 'bus_gen'), 'flow')
2021-01-18 00:00:00;251.84790887500003;0.0;0.0;161.58419999999998;90.26370887500005
2021-01-18 01:00:00;246.621870375;0.0;0.0;166.107777;80.51409337499999
2021-01-18 02:00:00;245.98502900000003;0.0;0.0;164.527062;81.45796700000002
2021-01-18 03:00:00;253.38197687500002;0.0;0.0;166.037523;87.34445387500003
2021-01-18 04:00:00;271.48023825;0.0;0.0;171.490014;99.99022425000001
2021-01-18 05:00:00;307.620150125;0.0;0.0;192.30080999999998;115.31934012500002
2021-01-18 06:00:00;341.901317625;0.0;0.0;218.84121;123.060107625
2021-01-18 07:00:00;358.459688875;0.0;0.0;246.21294899999998;112.246739875
2021-01-18 08:00:00;363.21190550000006;0.0;0.0;269.677785;93.53412050000009
2021-01-18 09:00:00;367.2730235;0.0;0.0;295.56638399999997;71.70663950000005
2021-01-18 10:00:00;373.3082135;0.0;0.0;326.708421;46.599792500000035
2021-01-18 11:00:00;374.96343125000004;0.0;0.0;367.916295;7.047136250000051
2021-01-18 12:00:00;369.52767237500007;31.64218262499992;0.0;401.169855;0.0
2021-01-18 13:00:00;364.790444625;55.56655837499994;0.0;420.35700299999996;0.0
2021-01-18 14:00:00;362.10421525000004;72.29187874999991;0.0;434.39609399999995;0.0
2021-01-18 15:00:00;364.75117625;74.12556174999997;0.0;438.876738;0.0
2021-01-18 16:00:00;375.38869412500003;72.39859287499996;0.0;447.787287;0.0
2021-01-18 17:00:00;374.05096800000007;73.1868179999999;15.9;463.13778599999995;0.0
2021-01-18 18:00:00;362.935788125;116.73120287500001;0.0;479.666991;0.0
2021-01-18 19:00:00;344.1747955;145.40191249999998;0.0;489.576708;0.0
2021-01-18 20:00:00;326.48519775000005;165.4567282499999;0.0;491.94192599999997;0.0
2021-01-18 21:00:00;313.10607837500004;176.39647262499994;0.0;489.502551;0.0
2021-01-18 22:00:00;294.97139775000005;183.06413924999993;0.0;478.035537;0.0
2021-01-18 23:00:00;280.43924987500003;198.30663312499996;0.0;478.745883;0.0
2021-01-19 00:00:00;271.899555125;205.30464287499996;0.0;477.20419799999996;0.0
2021-01-19 01:00:00;267.491834875;204.32232012499998;0.0;471.81415499999997;0.0
2021-01-19 02:00:00;268.81866;183.60231;15.9;468.32097;0.0
2021-01-19 03:00:00;276.659823625;193.351145375;0.0;470.010969;0.0
2021-01-19 04:00:00;291.77232587500004;83.14785912499997;105.90990000000001;480.830085;0.0
2021-01-19 05:00:00;321.35479075;176.71874824999998;0.0;498.073539;0.0
2021-01-19 06:00:00;353.735344125;62.56054387500001;105.90990000000001;522.205788;0.0
2021-01-19 07:00:00;369.8991735;62.83224749999994;105.90990000000001;538.641321;0.0
2021-01-19 08:00:00;372.655020625;174.49093737499993;0.0;547.145958;0.0
2021-01-19 09:00:00;378.6982625;68.9621335;105.90990000000001;553.570296;0.0
2021-01-19 10:00:00;385.04462650000005;80.43686749999995;105.90990000000001;571.391394;0.0
2021-01-19 11:00:00;385.51882;81.73073299999999;105.90990000000001;573.159453;0.0
2021-01-19 12:00:00;378.227165875;74.67495912499993;105.90990000000001;558.812025;0.0
2021-01-19 13:00:00;371.97123062500003;155.49580137499999;0.0;527.467032;0.0
2021-01-19 14:00:00;366.95825712500005;30.751544874999922;105.90990000000001;503.61970199999996;0.0
2021-01-19 15:00:00;363.2446085;125.83251549999994;0.0;489.07712399999997;0.0
2021-01-19 16:00:00;371.80214125000003;3.8244867499999486;105.90990000000001;481.536528;0.0
2021-01-19 17:00:00;369.850119;122.00984399999999;0.0;491.859963;0.0
2021-01-19 18:00:00;359.189932;42.696079999999995;105.90990000000001;507.795912;0.0
2021-01-19 19:00:00;341.56028975;190.25468425000003;0.0;531.814974;0.0
2021-01-19 20:00:00;328.42879650000003;122.18617049999995;105.90990000000001;556.524867;0.0
2021-01-19 21:00:00;316.682101875;160.61377312500002;105.90990000000001;583.205775;0.0
2021-01-19 22:00:00;297.51504700000004;287.17777099999995;0.0;584.692818;0.0
2021-01-19 23:00:00;282.238410375;207.000644625;105.90990000000001;595.148955;0.0
2021-01-20 00:00:00;272.52884012500004;316.5431438749999;0.0;589.0719839999999;0.0
2021-01-20 01:00:00;269.3909625;208.61525849999998;105.90990000000001;583.916121;0.0
2021-01-20 02:00:00;270.62339487500003;305.2564491249999;0.0;575.8798439999999;0.0
2021-01-20 03:00:00;277.824744125;190.21711787499993;105.90990000000001;573.9517619999999;0.0
2021-01-20 04:00:00;293.140153625;281.03017637499994;0.0;574.1703299999999;0.0
2021-01-20 05:00:00;323.81395725;151.83485175000004;105.90990000000001;581.558709;0.0
2021-01-20 06:00:00;355.58393075;241.16915724999996;0.0;596.7530879999999;0.0
2021-01-20 07:00:00;367.51507525000005;225.71750674999993;0.0;593.232582;0.0
2021-01-20 08:00:00;368.56801275000004;221.30018324999998;0.0;589.868196;0.0
2021-01-20 09:00:00;371.3807185;237.77610349999992;0.0;609.1568219999999;0.0
2021-01-20 10:00:00;373.720097875;261.20823312499994;0.0;634.928331;0.0
2021-01-20 11:00:00;376.15139250000004;184.0598144999999;105.90990000000001;666.1211069999999;0.0
2021-01-20 12:00:00;368.089731375;303.45654562499993;0.0;671.5462769999999;0.0
2021-01-20 13:00:00;360.18786900000003;290.5476119999999;0.0;650.7354809999999;0.0
2021-01-20 14:00:00;355.60709537500003;250.11508662499995;0.0;605.722182;0.0
2021-01-20 15:00:00;353.48808962500004;209.23864437499992;0.0;562.726734;0.0
2021-01-20 16:00:00;371.03622212500005;175.55550987499993;0.0;546.591732;0.0
2021-01-20 17:00:00;372.13375462500005;198.19212037499994;0.0;570.325875;0.0
2021-01-20 18:00:00;366.35126962500004;229.4104563749999;0.0;595.761726;0.0
2021-01-20 19:00:00;346.930147125;145.10735887500005;105.90989999999995;597.947406;0.0
2021-01-20 20:00:00;331.414803375;274.830380625;0.0;606.245184;0.0
2021-01-20 21:00:00;317.93162900000004;285.1833489999999;0.0;603.114978;0.0
2021-01-20 22:00:00;300.840843;296.06055899999996;0.0;596.901402;0.0
2021-01-20 23:00:00;285.7860665;212.46891849999992;105.90990000000001;604.1648849999999;0.0
