datetime;(('bus_gen', 'storage'), 'flow');P_in;P_in_stor;P_out;P_out_stor;(('storage', 'None'), 'Y_p_in');(('storage', 'None'), 'Y_p_out');soc;(('storage', 'bus_dem'), 'flow');eta_in;eta_out
2021-01-18 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 11:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 12:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 13:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 14:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 15:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 16:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 17:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 19:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 20:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 21:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 22:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-18 23:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-19 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-01-19 01:00:00;159.00000000000003;159.00000000000003;132.17670000000004;0.0;0.0;1.0;0.0;132.17670000000004;0.0;0.8313000000000001;
2021-01-19 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.17670000000004;0.0;;
2021-01-19 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.17670000000004;0.0;;
2021-01-19 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.17670000000004;0.0;;
2021-01-19 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.17670000000004;0.0;;
2021-01-19 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.17670000000004;0.0;;
2021-01-19 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.17670000000004;0.0;;
2021-01-19 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.17670000000004;0.0;;
2021-01-19 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.17670000000004;0.0;;
2021-01-19 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.17670000000004;0.0;;
2021-01-19 11:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.17670000000004;0.0;;
2021-01-19 12:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.17670000000004;0.0;;
2021-01-19 13:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.17670000000004;0.0;;
2021-01-19 14:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.17670000000004;0.0;;
2021-01-19 15:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.17670000000004;0.0;;
2021-01-19 16:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.17670000000004;0.0;;
